Title,Intervention,Health condition,,,,,,,,,,
Comparative study of the safety and efficacy of clarithromycin and amoxicillin-clavulanate in the treatment of acute otitis media in children. [see comments.],antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
Prospective randomized controlled study of the ceftazidime-pefloxacin combination versus the ceftazidime-amikacin combination in the empirical treatment of pneumonia and nosocomial septicemia in intensive care units. Preliminary results,antibiotic vs antibiotic,septicaemia,,,,,,,,,,
Prospective randomized controlled study of the ceftazidime-pefloxacin combination versus the ceftazidime-amikacin combination in the empirical treatment of pneumonia and nosocomial septicemia in intensive care units. Preliminary results,antibiotic vs antibiotic,Pneumonia,,,,,,,,,,
"[Prospective, randomized, controlled trial of imipenem-cilastatin versus cefotaxime-amikacin in the treatment of lower respiratory tract infections and septicaemia in intensive care units]",antibiotic vs antibiotic,septicaemia,,,,,,,,,,
"[Prospective, randomized, controlled trial of imipenem-cilastatin versus cefotaxime-amikacin in the treatment of lower respiratory tract infections and septicaemia in intensive care units]",antibiotic vs antibiotic,LRTI,,,,,,,,,,
Phase I/II studies to evaluate safety and immunogenicity of a recombinant gp350 Epstein-Barr virus vaccine in healthy adults,Vaccination,Epstein Barr,,,,,,,,,,
Effects of a modified yeast supplement on cold/flu symptoms,yeast,influenza,,,,,,,,,,
Effects of a modified yeast supplement on cold/flu symptoms,Yeast,common cold,,,,,,,,,,
Variant effect of first- and second-generation antihistamines as clues to their mechanism of action on the sneeze reflex in the common cold,Antihistamines ,Common cold,,,,,,,,,,
Oxygen administration to hypoxic children in Ethiopia: a randomized controlled study comparing complications in the use of nasal prongs with nasopharyngeal catheters,Oxygen therapy,Hypoxia,,,,,,,,,,
Comparison of nasal prongs with nasal catheters in the delivery of oxygen to children with hypoxia,Oxygen therapy,Hypoxia,,,,,,,,,,
Randomized secondary prevention trial of azithromycin in patients with coronary artery disease: primary clinical results of the ACADEMIC study. [see comments.],Antibiotics,Pneumonia,,,,,,,,,,
Probiotics as adjunctive treatment for chronic rhinosinusitis: a randomized controlled trial,Probiotics,Common Cold,,,,,,,,,,
Use and withdrawal of amantadine chemoprophylaxis during epidemic influenza A,Antivirals,Influenza A,,,,,,,,,,
The immunogenicity and safety of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine in Gambian infants,Vaccination,Pneumonia,,,,,,,,,,
The immunogenicity and safety of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine in Gambian infants,Vaccination,meningitis,,,,,,,,,,
A randomized trial of chloramphenicol vs. trimethoprim-sulfamethoxazole for the treatment of malnourished children with community-acquired pneumonia,antibiotic vs antibiotic,CAP,,,,,,,,,,
The use of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine mixed with Diptheria-tetanus-pertussis vaccine in Gambian infants,Vaccination,tetanus,,,,,,,,,,
The use of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine mixed with Diptheria-tetanus-pertussis vaccine in Gambian infants,Vaccination,pertussis,,,,,,,,,,
The use of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine mixed with Diptheria-tetanus-pertussis vaccine in Gambian infants,Vaccination,HiB,,,,,,,,,,
The use of Haemophilus influenzae type b-tetanus toxoid conjugate vaccine mixed with Diptheria-tetanus-pertussis vaccine in Gambian infants,Vaccination,diptheria,,,,,,,,,,
Randomised trial of Haemophilus influenzae type-b tetanus protein conjugate vaccine [corrected] for prevention of pneumonia and meningitis in Gambian infants. [see comments.] [erratum appears in Lancet 1997 Aug 16;350(9076):524.],Vaccination,Meningitis,,,,,,,,,,
Randomised trial of Haemophilus influenzae type-b tetanus protein conjugate vaccine [corrected] for prevention of pneumonia and meningitis in Gambian infants. [see comments.] [erratum appears in Lancet 1997 Aug 16;350(9076):524.],Vaccination,HiB,,,,,,,,,,
Randomised trial of Haemophilus influenzae type-b tetanus protein conjugate vaccine [corrected] for prevention of pneumonia and meningitis in Gambian infants. [see comments.] [erratum appears in Lancet 1997 Aug 16;350(9076):524.],Vaccination,tetanus,,,,,,,,,,
Randomised trial of Haemophilus influenzae type-b tetanus protein conjugate vaccine [corrected] for prevention of pneumonia and meningitis in Gambian infants. [see comments.] [erratum appears in Lancet 1997 Aug 16;350(9076):524.],Vaccination,Pneumonia,,,,,,,,,,
Maternal immunization with Haemophilus influenzae type b polysaccharide-tetanus protein conjugate vaccine in The Gambia,Vaccination,HiB,,,,,,,,,,
A randomized trial of nebulized epinephrine vs albuterol in the emergency department treatment of bronchiolitis,Bronchodilator,bronchiolitis,,,,,,,,,,
A randomized trial of nebulized epinephrine vs albuterol in the emergency department treatment of bronchiolitis,Adrenaline ,Bronchiolitis,,,,,,,,,,
Procalcitonin guided antibiotic use in acute respiratory tract infections in primary care - a randomized controlled trial,Procalcitonin guided antibiotic use - sounds ok,ARI,,,,,,,,,,
Comparison of azithromycin versus clarithromycin in the treatment of patients with upper respiratory tract infections,antibiotic vs antibiotic,URTI,,,,,,,,,,
An open comparative study of azithromycin and roxithromycin in the treatment of acute upper respiratory tract infections,antibiotic vs antibiotic,ARI,,,,,,,,,,
Loracarbef versus penicillin V in the treatment of streptococcal pharyngitis and tonsillitis,antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Loracarbef versus penicillin V in the treatment of streptococcal pharyngitis and tonsillitis,antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Ipratropium bromide increases the ability of the nose to warm and humidify air,Anticholinergic,Common Cold,,,,,,,,,,
[Comparison of loracarbef (LY163892) versus amoxicillin in the treatment of bronchopneumonia and lobar pneumonia]. [erratum appears in Infection 1992 Sep-Oct;20(5):308.],antibiotic vs antibiotic,pneumonia,,,,,,,,,,
Clinical efficacy of dirithromycin in pharyngitis and tonsillitis,Antibiotics,Pharyngitis,,,,,,,,,,
Increasing influenza vaccination among high-risk elderly: a randomized controlled trial of a mail cue in an HMO setting,Vaccination,Influenza,,,,,,,,,,
Early Mobilization on Hospitalized Patients With Community-Acquired Pneumonia.,Early mobilization,CAP,,,,,,,,,,
Early mobilization of patients hospitalized with community-acquired pneumonia.[comment] (is this the same study as above)?,Early mobilization,CAP,,,,,,,,,,
Safety and immunogenicity of respiratory syncytial virus purified fusion protein-2 vaccine in pregnant women,Vaccination,RSV,,,,,,,,,,
Pharmacokinetics of tigecycline after single and multiple doses in healthy subjects,Antibiotics,Staph aureus,,,,,,,,,,
Pharmacokinetics of tigecycline after single and multiple doses in healthy subjects,Antibiotics,strep pneumoniae,,,,,,,,,,
Pharmacokinetics of tigecycline after single and multiple doses in healthy subjects,Antibiotics,enterococci,,,,,,,,,,
The Comparative Evaluation of Talampicillin Hydrochloride with Amoxycillin on Bacterial Pneumonia Patients by Double Blind Study,Antibiotics,Pneumonia,,,,,,,,,,
Is treatment of acute otitis media with once-a-day amoxicillin feasible? Results of a pilot study. [see comments.],Antibiotics,OM,,,,,,,,,,
A single-blind comparative clinical trial of lymecycline and amoxycillin in the treatment of acute bronchitis in general practice,antibiotic vs antibiotic,Bronchitis,,,,,,,,,,
Chlamydia pneumoniae antibody titers and cardiac calcifications: a cross-sectional serological-echocardiographic correlative study,(immunoglobulin G TWAR antibodies) frOM the AZACS trial (AzithrOMycin in Acute Coronary SyndrOMes),Pneumonia,,retrospective association study shouldn't be included,,,,,,,,
Rifampin prophylaxis v placebo for household contacts of children with Hemophilus influenzae type b disease,Antibiotics,HiB,,,,,,,,,,
Histoplasmosis Cooperative Study. II. Chronic Pulmonary Histoplasmosis Treated with and without Amphotericin B,Antifungal,Histoplasmosis,,,,,,,,,,
"Efficacy and safety of a novel, single-dose azithromycin microsphere formulation versus 10 days of levofloxacin for the treatment of acute bacterial sinusitis in adults",antibiotic vs antibiotic,sinusitis,,,,,,,,,,
Treatment of sinusitis with a nitrofurazone-phenylephrine preparation,Decongestant,Sinusitis,,,,,,,,,,
Treatment of sinusitis with a nitrofurazone-phenylephrine preparation,antibiotic,Sinusitis,,,,,,,,,,
A randomized trial of invasive diagnostic techniques and empiric broad spectrum antibiotics for suspected ventilator associated pneumonia [Abstract],Antibiotics,VAP,,,,,,,,,,
A randomized trial of invasive diagnostic techniques and empiric broad spectrum antibiotics for suspected ventilator associated pneumonia [Abstract],Invasive diagnostic techniques,VAP,,,,,,,,,,
"Cerebrospinal fluid prostaglandins, interleukin 1 beta, and tumor necrosis factor in bacterial meningitis. Clinical and laboratory correlations in placebo-treated and dexamethasone-treated patients",saline,Meningitis,,,,,,,,,,
"Cerebrospinal fluid prostaglandins, interleukin 1 beta, and tumor necrosis factor in bacterial meningitis. Clinical and laboratory correlations in placebo-treated and dexamethasone-treated patients",Corticosteroid,Meningitis,,,,,,,,,,
Swine influenza virus vaccination in patients with multiple sclerosis,Vaccination,Influenza,,,,,,,,,,
A placebo-controlled trial in acute otitis media [abstract],what is the intervention?,OM,,,,,,,,,,
Penicillin in acute otitis media: a double-blind placebo-controlled trial,Antibiotics,OM,,,,,,,,,,
Xylometazoline (Otrivin) in acute rhinitis. A comparative study between pipette- and metered-dose aerosol applications. [Norwegian],Decongestant,Common Cold,,,,,,,,,,
Pivot trial: a multicentre randomised equivalence trial to compare oral and IV treatment for community acquired pneumonia in children [abstract],Oral and IV treatment,CAP,,,,,,,,,,
Urinary excretion and bactericidal activities of a single oral dose of 400 milligrams of fleroxacin versus a single oral dose of 800 milligrams of pefloxacin in healthy volunteers,,"Staph aureus, Klebsiella pneumoniae, PseudOMonas aeruginosa ",,urinary tract infections! Take out!,OMIT,,,,,,,
Kinins are generated during experimental rhinovirus colds,what is the intervention?,Common cold? What is the disease,,no intervention - pathophysiology,,,,,,,,
The impact of vitamin A supplementation given during a pneumonia episode on the subsequent morbidity of children,vitamin A,Pneumonia,,,,,,,,,,
"Randomised, double blind, placebo controlled clinical trial of efficacy of vitamin A treatment in non-measles childhood pneumonia",vitamin A,Pneumonia,,,,,,,,,,
Age-related differences in cell-mediated immunity to varicella-zoster virus among children and adults immunized with live attenuated varicella vaccine,Vaccination,Varicella Zoster,,,,,,,,,,
Comparative study of live attenuated and further attenuated measles vaccines in rural areas of Iran,Vaccination,Measles,,,,,,,,,,
Administration of amantadine for the prevention of Hong Kong influenza,Antivirals,Influenza,,,,,,,,,,
Therapeutic Effects of Fentiazac on Common cold-A Double-blind Clinical Study,NSAID,Common cold,,,,,,,,,,
Clinical Evaluation of Tolfenamic Acid on Acute Upper Respiratory Tract Inflammation: Multi-center Double-blind Study with Ibuprofen,NSAID,Common cold,,,,,,,,,,
Clinical study on dosage schedule of tobramycin: controlled comparison between 180 mg b.i.d. and t.i.d. [Japanese],Antibiotics,ARI,,,,,,,,,,
Amantadine and pneumonia [letter] Comments: Comment in: Lancet 1999 Jun 19;353(9170):2156; discussion 2157. Comment in: Lancet 1999 Jun 19;353(9170):2156-7. Comment in: Lancet 1999 Jun 19;353(9170):2157;,Antivirals,Pneumonia,,,,,,,,,,
